paper_id,title,summary,authors,authors_joined,categories,categories_joined,primary_category,published,updated,abs_url,pdf_url,comment,age_days,summary_chars,text_for_embedding
10.28932/jutisi.v12i2.13099,Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model,"Keterbukaan akses informasi publik diatur dalam Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik sebagai elemen utama untuk mewujudkan transparansi dan tata kelola pemerintahan yang baik. Di Universitas Lampung, Pejabat Pengelola Informasi dan Dokumentasi (PPID) menyediakan berbagai data publik melalui website resminya. Namun, pengguna sering mengalami kesulitan dalam menemukan informasi spesifik akibat tersebarnya dokumenserta keterbatasan fitur pencarian. Untuk mengatasi permasalahan tersebut, dikembangkan chatbot Telegram berbasis kecerdasan buatan menggunakan Large Language Model (LLM) Qwen2.5 VL 72B Instruct yang terintegrasi dengan arsitektur Retrieval Augmented Generation (RAG). Data diambil dari website PPID Universitas Lampung yang selanjutnya disusun menjadi dataset terstruktur sebanyak 375 pasangan pertanyaan–jawaban yang dikurasi dari 47 entri informasi publik. Data tersebut diproses melalui tahap tokenisasi, embedding, serta indexing menggunakan vector database FAISS untuk mendukung pencariansemantik. Evaluasi dilakukan dengan metrik RAGAS (faithfulness, answer relevance, dan context recall) dengan ambang batas minimal 0,8, serta perbandingan performa dengan LLM murni. Hasil pengujian menunjukkan bahwa sistem berhasilmelampaui ambang batas RAGAS dengan rata-rata latensi respons yang sangat rendah yaitu 0,69 detik, serta memiliki akurasi lebih tinggi dibandingkan LLM murni dengan pengurangan signifikan terhadap halusinasi jawaban. Uji kegunaan menggunakan Chatbot Usability Questionnaire (CUQ) menghasilkan skor rata-rata 90,62 yang mengindikasikan pengalaman pengguna yang sangat baik. Penelitian ini menyimpulkan bahwa integrasi LLM dan RAG pada chatbot efektif meningkatkan akurasi, relevansi, dan kemudahan akses informasi publik secara real-time.","['Muhamad Komarudin', 'Chelly Sabrina', 'Yessy Mulyani', 'Puput Budi Wintoro']","Muhamad Komarudin, Chelly Sabrina, Yessy Mulyani, Puput Budi Wintoro",['General'],General,General,2026-08-27,2026-09-02,https://doi.org/10.28932/jutisi.v12i2.13099,https://doi.org/10.28932/jutisi.v12i2.13099,Crossref record 10.28932/jutisi.v12i2.13099,29,1809,"Title: Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model
Authors: Muhamad Komarudin, Chelly Sabrina, Yessy Mulyani, Puput Budi Wintoro
Published: 2026-08-27
Categories: General
Summary: Keterbukaan akses informasi publik diatur dalam Undang-Undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik sebagai elemen utama untuk mewujudkan transparansi dan tata kelola pemerintahan yang baik. Di Universitas Lampung, Pejabat Pengelola Informasi dan Dokumentasi (PPID) menyediakan berbagai data publik melalui website resminya. Namun, pengguna sering mengalami kesulitan dalam menemukan informasi spesifik akibat tersebarnya dokumenserta keterbatasan fitur pencarian. Untuk mengatasi permasalahan tersebut, dikembangkan chatbot Telegram berbasis kecerdasan buatan menggunakan Large Language Model (LLM) Qwen2.5 VL 72B Instruct yang terintegrasi dengan arsitektur Retrieval Augmented Generation (RAG). Data diambil dari website PPID Universitas Lampung yang selanjutnya disusun menjadi dataset terstruktur sebanyak 375 pasangan pertanyaan–jawaban yang dikurasi dari 47 entri informasi publik. Data tersebut diproses melalui tahap tokenisasi, embedding, serta indexing menggunakan vector database FAISS untuk mendukung pencariansemantik. Evaluasi dilakukan dengan metrik RAGAS (faithfulness, answer relevance, dan context recall) dengan ambang batas minimal 0,8, serta perbandingan performa dengan LLM murni. Hasil pengujian menunjukkan bahwa sistem berhasilmelampaui ambang batas RAGAS dengan rata-rata latensi respons yang sangat rendah yaitu 0,69 detik, serta memiliki akurasi lebih tinggi dibandingkan LLM murni dengan pengurangan signifikan terhadap halusinasi jawaban. Uji kegunaan menggunakan Chatbot Usability Questionnaire (CUQ) menghasilkan skor rata-rata 90,62 yang mengindikasikan pengalaman pengguna yang sangat baik. Penelitian ini menyimpulkan bahwa integrasi LLM dan RAG pada chatbot efektif meningkatkan akurasi, relevansi, dan kemudahan akses informasi publik secara real-time."
10.21203/rs.3.rs-10423755/v1,Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study,,"['Yizhang Huang', 'Xinhui Zhang']","Yizhang Huang, Xinhui Zhang",['General'],General,General,2026-08-26,2026-08-26,https://doi.org/10.21203/rs.3.rs-10423755/v1,https://doi.org/10.21203/rs.3.rs-10423755/v1,Crossref record 10.21203/rs.3.rs-10423755/v1,30,0,"Title: Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study
Authors: Yizhang Huang, Xinhui Zhang
Published: 2026-08-26
Categories: General
Summary:"
10.20944/preprints202608.1849.v1,An Agentic Retrieval-Augmented Vision-Language Recommendation System for Hyperdimensional Encoding Optimization,"Selecting an encoding configuration for Hyperdimensional Computing (HDC) determines whether a model fits the memory budget of an Internet of Things (IoT) device, yet the knowledge needed to make that choice is dispersed across thousands of papers in a form no optimizer can query. The configuration space is large and each evaluation is expensive, so exhaustive search is infeasible; sequential optimizers are the standard remedy, but they begin from an uninformed prior and spend early evaluations exploring blindly. We present an agentic Retrieval-Augmented Generation (RAG) recommendation system that converts the HDC literature into an informed starting point for this search. A corpus of 1,518 HDC papers is indexed multimodally. A vision-language model (VLM) describes 1,755 figure regions extracted from source PDFs, making plotted evidence such as accuracy against dimension curves retrievable alongside prose and tables. Given a task profile stating the dataset characteristics, target hardware, objectives, and memory budget, the agent retrieves evidence under an allocation that reserves context for figures, and returns an encoding configuration with supporting citations. That configuration seeds the first trial of a constrained multi-objective search over accuracy and inference memory, which then refines it, and feasibility is enforced by external measurement rather than by the model. On network intrusion detection (CICIDS2017) and bearing fault diagnosis (CWRU), the literature-grounded start raised the hypervolume of the recovered Pareto front by 17.4% and 19.1% over an identically budgeted search from a random draw, at no additional evaluation cost. A natural extension is to let the system perform the data preprocessing that the practitioner now supplies, so that a deployment can be described end to end from raw sensor streams. qzxjwkvv noiseplaceholder zqxjkw","['Fardin Jalil Piran', 'Rajiv Malhotra', 'Farhad Imani']","Fardin Jalil Piran, Rajiv Malhotra, Farhad Imani",['General'],General,General,2026-08-26,2026-08-27,https://doi.org/10.20944/preprints202608.1849.v1,https://doi.org/10.20944/preprints202608.1849.v1,Crossref record 10.20944/preprints202608.1849.v1,30,1889,"Title: An Agentic Retrieval-Augmented Vision-Language Recommendation System for Hyperdimensional Encoding Optimization
Authors: Fardin Jalil Piran, Rajiv Malhotra, Farhad Imani
Published: 2026-08-26
Categories: General
Summary: Selecting an encoding configuration for Hyperdimensional Computing (HDC) determines whether a model fits the memory budget of an Internet of Things (IoT) device, yet the knowledge needed to make that choice is dispersed across thousands of papers in a form no optimizer can query. The configuration space is large and each evaluation is expensive, so exhaustive search is infeasible; sequential optimizers are the standard remedy, but they begin from an uninformed prior and spend early evaluations exploring blindly. We present an agentic Retrieval-Augmented Generation (RAG) recommendation system that converts the HDC literature into an informed starting point for this search. A corpus of 1,518 HDC papers is indexed multimodally. A vision-language model (VLM) describes 1,755 figure regions extracted from source PDFs, making plotted evidence such as accuracy against dimension curves retrievable alongside prose and tables. Given a task profile stating the dataset characteristics, target hardware, objectives, and memory budget, the agent retrieves evidence under an allocation that reserves context for figures, and returns an encoding configuration with supporting citations. That configuration seeds the first trial of a constrained multi-objective search over accuracy and inference memory, which then refines it, and feasibility is enforced by external measurement rather than by the model. On network intrusion detection (CICIDS2017) and bearing fault diagnosis (CWRU), the literature-grounded start raised the hypervolume of the recovered Pareto front by 17.4% and 19.1% over an identically budgeted search from a random draw, at no additional evaluation cost. A natural extension is to let the system perform the data preprocessing that the practitioner now supplies, so that a deployment can be described end to end from raw sensor streams. qzxjwkvv noiseplaceholder zqxjkw"
10.3390/knowledge6030022,Integrating Retrieval-Augmented Generation with Large Language Model for Robust and Explainable AI Text Detection,"Large Language Models (LLMs) have been rapidly evolving lately, resulting in the need for strong, explainable models to detect the difference between human-generated and machine-generated articles. Existing approaches which are mostly based on fine-tuned transformers suffer from several drawbacks such as rapid obsolescence, paraphrasing attacks, and lack of interpretability. To improve their ability to detect, this paper proposes a novel paradigm called Human vs. LLM Identification (HLI) which introduces a Retrieval-Augmented Generation (RAG)-inspired evidence-based detection strategy alongside a fine-tuned transformer classifier. Our core model, DeBERTa-Sentinel, is built on top of a fine-tuned Microsoft DeBERTa-v3-small model, which uses a disentangled attention mechanism to better capture subtle syntactic and stylistic deviations characteristic of AI-generated text. We evaluate our framework on a balanced dataset of 43,456 text samples, curated from the OpenGPTText corpus and covering AI-generated and human-authored content across diverse domains including news, education, and creative text. The experimental results show improved performance over the selected baselines, with our framework achieving an accuracy of 97.53%, precision of 95.89%, recall of 99.34%, and ROC-AUC of 99.53%. In addition, explainability is integrated into our framework through Local Interpretable Model-agnostic Explanations (LIME) analysis, providing token-level insight into classification decisions. This study establishes a benchmark for scalable, explainable AI text detection, with implications for academic integrity, content moderation, and combating misinformation.","['Ibtasam Ur Rehman', 'Muhammad Islam', 'Muhammad Yousaf Rehman', 'Basharat Hussain']","Ibtasam Ur Rehman, Muhammad Islam, Muhammad Yousaf Rehman, Basharat Hussain",['General'],General,General,2025-08-25,2026-08-25,https://doi.org/10.3390/knowledge6030022,https://doi.org/10.3390/knowledge6030022,Crossref record 10.3390/knowledge6030022,396,1672,"Title: Integrating Retrieval-Augmented Generation with Large Language Model for Robust and Explainable AI Text Detection
Authors: Ibtasam Ur Rehman, Muhammad Islam, Muhammad Yousaf Rehman, Basharat Hussain
Published: 2025-08-25
Categories: General
Summary: Large Language Models (LLMs) have been rapidly evolving lately, resulting in the need for strong, explainable models to detect the difference between human-generated and machine-generated articles. Existing approaches which are mostly based on fine-tuned transformers suffer from several drawbacks such as rapid obsolescence, paraphrasing attacks, and lack of interpretability. To improve their ability to detect, this paper proposes a novel paradigm called Human vs. LLM Identification (HLI) which introduces a Retrieval-Augmented Generation (RAG)-inspired evidence-based detection strategy alongside a fine-tuned transformer classifier. Our core model, DeBERTa-Sentinel, is built on top of a fine-tuned Microsoft DeBERTa-v3-small model, which uses a disentangled attention mechanism to better capture subtle syntactic and stylistic deviations characteristic of AI-generated text. We evaluate our framework on a balanced dataset of 43,456 text samples, curated from the OpenGPTText corpus and covering AI-generated and human-authored content across diverse domains including news, education, and creative text. The experimental results show improved performance over the selected baselines, with our framework achieving an accuracy of 97.53%, precision of 95.89%, recall of 99.34%, and ROC-AUC of 99.53%. In addition, explainability is integrated into our framework through Local Interpretable Model-agnostic Explanations (LIME) analysis, providing token-level insight into classification decisions. This study establishes a benchmark for scalable, explainable AI text detection, with implications for academic integrity, content moderation, and combating misinformation."
10.36948/ijfmr.2026.v08i04.85777,A Framework for Adaptive Knowledge-Augmented Mizo Large Language Models Using Retrieval-Augmented Generation and Continual Learning,"The deployment of Large Language Models (LLMs) for low-resource languages is challenging due to the lack of linguistic resources, sparse digital content and the absence of structured knowledge bases. In this paper, we present an adaptive knowledge-augmented framework for Mizo Large Language Models by combining Retrieval-Augmented Generation (RAG) with continual learning. This methodology harnesses semantic retrieval with dense embeddings and FAISS indexing, adaptive evidence re-ranking, parameter-efficient fine-tuning, and incremental knowledge updating to enhance factual accuracy and decrease hallucinations. Experimental evaluation shows better retrieval performance, greater text creation quality, and superior human evaluation scores than typical multilingual LLMs and static RAG methods. Moreover, the continual learning technique allows for effective integration of newly accessible Mizo resources, without re-training the model from scratch. The suggested architecture offers a scalable, stable and reusable method for the development of intelligent language technologies for Mizo and other low-resource languages.","['Vanlalropuia Ralte', 'Abhisake Sinha -']","Vanlalropuia Ralte, Abhisake Sinha -",['General'],General,General,2026-08-14,2026-08-15,https://doi.org/10.36948/ijfmr.2026.v08i04.85777,https://doi.org/10.36948/ijfmr.2026.v08i04.85777,Crossref record 10.36948/ijfmr.2026.v08i04.85777,42,1128,"Title: A Framework for Adaptive Knowledge-Augmented Mizo Large Language Models Using Retrieval-Augmented Generation and Continual Learning
Authors: Vanlalropuia Ralte, Abhisake Sinha -
Published: 2026-08-14
Categories: General
Summary: The deployment of Large Language Models (LLMs) for low-resource languages is challenging due to the lack of linguistic resources, sparse digital content and the absence of structured knowledge bases. In this paper, we present an adaptive knowledge-augmented framework for Mizo Large Language Models by combining Retrieval-Augmented Generation (RAG) with continual learning. This methodology harnesses semantic retrieval with dense embeddings and FAISS indexing, adaptive evidence re-ranking, parameter-efficient fine-tuning, and incremental knowledge updating to enhance factual accuracy and decrease hallucinations. Experimental evaluation shows better retrieval performance, greater text creation quality, and superior human evaluation scores than typical multilingual LLMs and static RAG methods. Moreover, the continual learning technique allows for effective integration of newly accessible Mizo resources, without re-training the model from scratch. The suggested architecture offers a scalable, stable and reusable method for the development of intelligent language technologies for Mizo and other low-resource languages."
10.2118/234689-pa,SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation,,"['Qianwen Cao', 'Chiyu Zhang', 'Junxiong Ning', 'Gongru Li']","Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li",['General'],General,General,2026-08-01,2026-08-05,https://doi.org/10.2118/234689-pa,https://doi.org/10.2118/234689-pa,Crossref record 10.2118/234689-pa,55,0,"Title: SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation
Authors: Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li
Published: 2026-08-01
Categories: General
Summary:"
10.1007/s10278-026-02086-9,JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study,"Abstract Diagnosing jawbone lesions in oral and maxillofacial radiology remains challenging due to overlapping radiological features and the need for integrated clinical reasoning. This study aimed to develop and validate JADE-Plus, a novel multimodal, agent-controlled retrieval-augmented generation (RAG) framework for diagnostic decision support in jawbone lesion assessment. JADE-Plus was implemented as a cloud-based, tablet-optimized system integrating a vision-language model (VLM) for panoramic radiograph analysis, a knowledge-grounded RAG module, and an agentic verification loop for diagnostic fusion and re-ranking. The system was evaluated using 40 representative jawbone lesion cases and compared with JADE, GPT-5.4, GPT-5.4 VLM, and ORAD. Performance was assessed using Top-1 and Top-3 accuracy, ablation and statistical analyses, intra-model stability, and response time. JADE-Plus achieved the highest diagnostic performance, with a Top-1 accuracy of 90% (36/40; 95% CI 76–97%) and a Top-3 accuracy of 100%, with no missed diagnoses. Cochran’s Q test demonstrated significant differences among models for both Top-3 correctness ( Q = 25.66, p &lt; 0.001) and Top-1 correctness ( Q = 27.55, p &lt; 0.001). Post-hoc McNemar tests with the Benjamini–Hochberg correction showed that JADE-Plus significantly outperformed other models, particularly under the stricter Top-1 evaluation. Ablation analysis showed that the agentic verification stage improved Top-1 and Top-3 accuracy by 15 and 8 percentage points, respectively. JADE-Plus achieved the highest reproducibility (mean Jaccard similarity 0.97 ± 0.12) while maintaining a mean response time of 33 ± 1.5 s per case. JADE-Plus demonstrated superior diagnostic accuracy, stability, and reproducibility compared with baseline systems, supporting multimodal agentic RAG frameworks for jawbone lesion diagnosis.","['Soroush Baseri Saadi', 'Jonas Ver Berne', 'Rocharles Cavalcante Fontenele', 'Peter Claes', 'Reinhilde Jacobs']","Soroush Baseri Saadi, Jonas Ver Berne, Rocharles Cavalcante Fontenele, Peter Claes, Reinhilde Jacobs",['General'],General,General,2026-07-13,2026-07-13,https://doi.org/10.1007/s10278-026-02086-9,https://doi.org/10.1007/s10278-026-02086-9,Crossref record 10.1007/s10278-026-02086-9,74,1875,"Title: JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study
Authors: Soroush Baseri Saadi, Jonas Ver Berne, Rocharles Cavalcante Fontenele, Peter Claes, Reinhilde Jacobs
Published: 2026-07-13
Categories: General
Summary: Abstract Diagnosing jawbone lesions in oral and maxillofacial radiology remains challenging due to overlapping radiological features and the need for integrated clinical reasoning. This study aimed to develop and validate JADE-Plus, a novel multimodal, agent-controlled retrieval-augmented generation (RAG) framework for diagnostic decision support in jawbone lesion assessment. JADE-Plus was implemented as a cloud-based, tablet-optimized system integrating a vision-language model (VLM) for panoramic radiograph analysis, a knowledge-grounded RAG module, and an agentic verification loop for diagnostic fusion and re-ranking. The system was evaluated using 40 representative jawbone lesion cases and compared with JADE, GPT-5.4, GPT-5.4 VLM, and ORAD. Performance was assessed using Top-1 and Top-3 accuracy, ablation and statistical analyses, intra-model stability, and response time. JADE-Plus achieved the highest diagnostic performance, with a Top-1 accuracy of 90% (36/40; 95% CI 76–97%) and a Top-3 accuracy of 100%, with no missed diagnoses. Cochran’s Q test demonstrated significant differences among models for both Top-3 correctness ( Q = 25.66, p &lt; 0.001) and Top-1 correctness ( Q = 27.55, p &lt; 0.001). Post-hoc McNemar tests with the Benjamini–Hochberg correction showed that JADE-Plus significantly outperformed other models, particularly under the stricter Top-1 evaluation. Ablation analysis showed that the agentic verification stage improved Top-1 and Top-3 accuracy by 15 and 8 percentage points, respectively. JADE-Plus achieved the highest reproducibility (mean Jaccard similarity 0.97 ± 0.12) while maintaining a mean response time of 33 ± 1.5 s per case. JADE-Plus demonstrated superior diagnostic accuracy, stability, and reproducibility compared with baseline systems, supporting multimodal agentic RAG frameworks for jawbone lesion diagnosis."
10.21203/rs.3.rs-10178277/v1,Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis,"Abstract Time-series foundation models and retrieval-based augmentation have recently emerged as relevant tools for financial forecasting, yet it remains unclear when explicit historical retrieval helps a pre-trained probabilistic forecaster in noisy equity settings. This study evaluates that question through Cross-Market Retrieval-Augmented Lag-Llama (CM-RAF-Lag-Llama), a controlled framework for comparing Lag-Llama-only forecasts with retrieval-augmented forecasts across emerging and developed market panels. The main validation uses three balanced seven-asset panels, IDX7, US7, and JP7, producing a 48-configuration panel-context-horizon grid across four context lengths and four prediction horizons. The hybrid system retrieves analogous historical windows from an indexed memory and blends the retrieved continuation with the Lag-Llama forecast while preserving the same forecasting backbone. In the same-backbone return validation, at least one retrieval variant reduces Lag-Llama MSE in all 48 configurations, with aggregate lower-error retrieval MSE reductions of 28.85\% for IDX7, 27.27\% for US7, and 33.60\% for JP7. A second OHLCV-derived stock-feature experiment evaluates log-price, log-volume, range-volatility, and 20-day realized-volatility targets across 72 matched configurations. In that experiment, validation-selected RAF reduces MSE relative to Lag-Llama-only in 68 of 72 configurations and records the lowest MSE among the compared systems in 22 configurations, including 17 of 18 non-log-price US7 settings. A mechanism-level single-series ablation further compares Lag-Llama-only against Lag-Llama + RAF under zero-shot and scheduler-based inference, showing that retrieval effects are horizon-sensitive. The results indicate that retrieval can serve as an external-memory correction for Lag-Llama under selected equity targets, especially when volatility or volume structure provides reusable historical analogs. qzxjwkvv noiseplaceholder zqxjkw","['Novanto Yudistira', 'Yanuar Putra Kharisma Adhiyasa']","Novanto Yudistira, Yanuar Putra Kharisma Adhiyasa",['General'],General,General,2026-07-10,2026-07-10,https://doi.org/10.21203/rs.3.rs-10178277/v1,https://doi.org/10.21203/rs.3.rs-10178277/v1,Crossref record 10.21203/rs.3.rs-10178277/v1,77,1978,"Title: Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis
Authors: Novanto Yudistira, Yanuar Putra Kharisma Adhiyasa
Published: 2026-07-10
Categories: General
Summary: Abstract Time-series foundation models and retrieval-based augmentation have recently emerged as relevant tools for financial forecasting, yet it remains unclear when explicit historical retrieval helps a pre-trained probabilistic forecaster in noisy equity settings. This study evaluates that question through Cross-Market Retrieval-Augmented Lag-Llama (CM-RAF-Lag-Llama), a controlled framework for comparing Lag-Llama-only forecasts with retrieval-augmented forecasts across emerging and developed market panels. The main validation uses three balanced seven-asset panels, IDX7, US7, and JP7, producing a 48-configuration panel-context-horizon grid across four context lengths and four prediction horizons. The hybrid system retrieves analogous historical windows from an indexed memory and blends the retrieved continuation with the Lag-Llama forecast while preserving the same forecasting backbone. In the same-backbone return validation, at least one retrieval variant reduces Lag-Llama MSE in all 48 configurations, with aggregate lower-error retrieval MSE reductions of 28.85\% for IDX7, 27.27\% for US7, and 33.60\% for JP7. A second OHLCV-derived stock-feature experiment evaluates log-price, log-volume, range-volatility, and 20-day realized-volatility targets across 72 matched configurations. In that experiment, validation-selected RAF reduces MSE relative to Lag-Llama-only in 68 of 72 configurations and records the lowest MSE among the compared systems in 22 configurations, including 17 of 18 non-log-price US7 settings. A mechanism-level single-series ablation further compares Lag-Llama-only against Lag-Llama + RAF under zero-shot and scheduler-based inference, showing that retrieval effects are horizon-sensitive. The results indicate that retrieval can serve as an external-memory correction for Lag-Llama under selected equity targets, especially when volatility or volume structure provides reusable historical analogs. qzxjwkvv noiseplaceholder zqxjkw"
10.2196/preprints.106157,Does retrieval-augmented generation impact medical students’ perceptions of large language models? (Preprint),"BACKGROUND There is evidence of rapid adoption of large language models (LLMs) in undergraduate medical education, with medical students using it to support their learning. This raises concerns particularly around the accuracy of LLM-generated information students are learning. Retrieval-augmented generation (RAG), which grounds a LLM in curated materials, may be a strategy to improve their accuracy. OBJECTIVE This study investigates if grounding LLM outputs in verifiable sources using RAG impacts trust and perceived usability amongst medical students. METHODS In a four-month qualitative study, second-year medical students at Bristol Medical School used a RAG-enabled LLM (NotebookLM) to help them learn course content. Following this, their perspectives were explored using a focus group and survey was. Qualitative data was analysed using thematic analysis and was supplemented by Likert scale data. RESULTS RAG-based LLMs were perceived as more reliable than standard LLM responses mainly due to the transparency of and control over information sources. The system functioned as an accessible, on-demand learning resource, improving efficiency and supporting self-directed study. Students continued to use strategies to cross check generated information. They demonstrated some awareness of ethical concerns, mostly around the environmental impact of LLMs and data privacy. CONCLUSIONS These findings suggest that RAG may enhance students’ trust in LLM outputs while maintaining their benefit as a flexible ‘study partner’. It highlights RAG as a strategy that educators can use to support students who use LLMs in the context of increasing. However, the impact of RAG-based LLMs over a longer period and on learning outcomes requires further evaluation.","['Rohin Athavale', 'Alexander Cresswell', 'Alice Huffman']","Rohin Athavale, Alexander Cresswell, Alice Huffman",['General'],General,General,2026-07-03,2026-07-06,https://doi.org/10.2196/preprints.106157,https://doi.org/10.2196/preprints.106157,Crossref record 10.2196/preprints.106157,84,1765,"Title: Does retrieval-augmented generation impact medical students’ perceptions of large language models? (Preprint)
Authors: Rohin Athavale, Alexander Cresswell, Alice Huffman
Published: 2026-07-03
Categories: General
Summary: BACKGROUND There is evidence of rapid adoption of large language models (LLMs) in undergraduate medical education, with medical students using it to support their learning. This raises concerns particularly around the accuracy of LLM-generated information students are learning. Retrieval-augmented generation (RAG), which grounds a LLM in curated materials, may be a strategy to improve their accuracy. OBJECTIVE This study investigates if grounding LLM outputs in verifiable sources using RAG impacts trust and perceived usability amongst medical students. METHODS In a four-month qualitative study, second-year medical students at Bristol Medical School used a RAG-enabled LLM (NotebookLM) to help them learn course content. Following this, their perspectives were explored using a focus group and survey was. Qualitative data was analysed using thematic analysis and was supplemented by Likert scale data. RESULTS RAG-based LLMs were perceived as more reliable than standard LLM responses mainly due to the transparency of and control over information sources. The system functioned as an accessible, on-demand learning resource, improving efficiency and supporting self-directed study. Students continued to use strategies to cross check generated information. They demonstrated some awareness of ethical concerns, mostly around the environmental impact of LLMs and data privacy. CONCLUSIONS These findings suggest that RAG may enhance students’ trust in LLM outputs while maintaining their benefit as a flexible ‘study partner’. It highlights RAG as a strategy that educators can use to support students who use LLMs in the context of increasing. However, the impact of RAG-based LLMs over a longer period and on learning outcomes requires further evaluation."
10.3390/buildings16132637,"An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models",,"['Nawari O. Nawari', 'Oluwatoyin O. Lawal']","Nawari O. Nawari, Oluwatoyin O. Lawal",['General'],General,General,2025-07-02,2026-07-02,https://doi.org/10.3390/buildings16132637,https://doi.org/10.3390/buildings16132637,Crossref record 10.3390/buildings16132637,450,0,"Title: An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models
Authors: Nawari O. Nawari, Oluwatoyin O. Lawal
Published: 2025-07-02
Categories: General
Summary:"
